user,tag,weakness
Ah_naf,binary search,0.1254993548721537
Ah_naf,bitmasks,0.39506732932117694
Ah_naf,brute force,0.17388946689809243
Ah_naf,combinatorics,0.00042766610940476654
Ah_naf,constructive algorithms,0.16414995374283584
Ah_naf,data structures,0.27650298718297633
Ah_naf,dfs and similar,0.41238532039146036
Ah_naf,divide and conquer,0.605698347167684
Ah_naf,dp,0.36107976103474865
Ah_naf,dsu,0.13902404516017025
Ah_naf,games,0.0009719684304653784
Ah_naf,geometry,0.45941477420813376
Ah_naf,graph matchings,0.0003110298977489211
Ah_naf,graphs,0.3500488117479278
Ah_naf,greedy,0.21997167475406904
Ah_naf,hashing,0.2636239014956794
Ah_naf,implementation,0.14457878773529534
Ah_naf,interactive,1.1817165448466234
Ah_naf,math,0.1473143216308334
Ah_naf,matrices,3.887873721861514e-05
Ah_naf,number theory,0.053371323744302715
Ah_naf,schedules,0.0001943936860930757
Ah_naf,shortest paths,0.2269582783543028
Ah_naf,sortings,0.1470185048389628
Ah_naf,string suffix structures,0.8006609385327164
Ah_naf,strings,0.11699381504088752
Ah_naf,ternary search,0.00015551494887446055
Ah_naf,trees,0.47334214584710277
Ah_naf,two pointers,0.17135297890494935
Eftekhar_Nahim,2-sat,0.0003110298977489211
Eftekhar_Nahim,binary search,0.09273712036733867
Eftekhar_Nahim,bitmasks,0.03706504587960843
Eftekhar_Nahim,brute force,0.01963333065220953
Eftekhar_Nahim,chinese remainder theorem,3.887873721861514e-05
Eftekhar_Nahim,combinatorics,0.11900511903373373
Eftekhar_Nahim,constructive algorithms,0.03604045933653446
Eftekhar_Nahim,data structures,0.06516778073275328
Eftekhar_Nahim,dfs and similar,0.14682142024027062
Eftekhar_Nahim,divide and conquer,0.39626099944273807
Eftekhar_Nahim,dp,0.07464924316786281
Eftekhar_Nahim,dsu,0.07336382155123936
Eftekhar_Nahim,fft,7.775747443723027e-05
Eftekhar_Nahim,flows,7.775747443723027e-05
Eftekhar_Nahim,games,0.0013607558026515298
Eftekhar_Nahim,geometry,0.08820787650817101
Eftekhar_Nahim,graph matchings,0.00011663621165584542
Eftekhar_Nahim,graphs,0.14672284517636366
Eftekhar_Nahim,greedy,0.05169861242170832
Eftekhar_Nahim,hashing,0.2526683053334427
Eftekhar_Nahim,implementation,0.03683601991836332
Eftekhar_Nahim,interactive,0.5341886655521428
Eftekhar_Nahim,math,0.04855629649149
Eftekhar_Nahim,matrices,0.00011663621165584542
Eftekhar_Nahim,number theory,0.030199978206748725
Eftekhar_Nahim,schedules,0.00015551494887446055
Eftekhar_Nahim,shortest paths,0.000272151160530306
Eftekhar_Nahim,sortings,0.06289254925000032
Eftekhar_Nahim,strings,0.058392759696376285
Eftekhar_Nahim,ternary search,0.00034990863496753624
Eftekhar_Nahim,trees,0.0017884219120562965
Eftekhar_Nahim,two pointers,0.03524874013415294
